Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,MEAN_ALL,MEAN_0,MEAN_1,MEAN_2,SUM_ALL,SUM_0,SUM_1,SUM_2,VAR_ALL,VAR_0,VAR_1,VAR_2,NTP_0,NTP_1,NTP_2,CRESCENT TMP,CRESCENT HUMIDITY,CRESCENT VIS,LEMOORE TMP,LEMOORE HUMIDITY,LEMOORE VIS,HANFORD TMP,HANFORD HUMIDITY,HANFORD VIS,PASOROBLES TMP,PASOROBLES HUMIDITY,PASOROBLES VIS
25/04/2020,36,0,0,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,588,0,0,0,0,0,0,0,0,2,0,124,0,0,0,0,0,0,0,117,14,10,2,30,9,22,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0.034652678,0.211845904,0.02292419,0.009481571,20.86091233,12.71075423,5.135018529,3.01513958,0.017724051,0.143554726,0.000239219,4.08E-05,60,224,318,56.66,57.34358337,16093,87.08,0.272113713,16093,86,1.635558947,16093,89.06,0.481138704,16093
26/04/2020,31,0,0,0,0,0,12,1,0,15,0,0,0,0,54,5,0,0,434,1,11,0,0,1,0,0,14,0,0,105,0,2,0,248,18,0,66,0,54,7,1,0,0,44,5,0,0,0,0,1,22,1,0,0,13,0,21,4,0,0.035634269,0.219205215,0.022635931,0.009039384,20.7035102,13.15231292,4.730909526,2.820287753,0.018405302,0.141148555,0.00026441,4.64E-05,60,209,312,55.04,84.51338592,805,89.06,0.219265743,16093,89.06,2.250582437,16093,89.06,0.588847169,16093
27/04/2020,30,0,0,0,0,0,3,0,0,0,0,0,30,0,19,15,0,0,856,1,1,0,0,5,0,0,0,4,0,52,0,2,0,80,8,0,40,100,16,16,3,61,2,21,4,0,0,0,0,2,8,0,0,0,28,0,6,0,0,0.050837605,0.266561491,0.023859003,0.010400868,22.31770838,15.99368943,4.223043568,2.100975379,0.030189335,0.168127167,0.000239106,4.98E-05,60,177,202,53.96,37.03931149,16093,87.98,0.080190612,16093,89.06,0.219265743,16093,84.92,0.186464142,16093
28/04/2020,33,0,0,0,0,0,22,0,2,40,0,0,3,0,19,4,0,0,573,3,0,1,0,8,0,2,2,2,2,25,0,2,0,92,8,1,55,98,44,1,4,19,2,17,1,0,0,0,50,2,18,-16,0,0,46,1,5,1,0,0.030259014,0.179948932,0.022685713,0.007871092,18.7000704,10.7969359,5.376513869,2.526620634,0.01425958,0.12229931,0.000220961,3.58E-05,60,237,321,57.47,79.6713275,11265,86,0.129174745,16093,86,0.253882667,16093,82.94,0.64319307,16093
29/04/2020,35,0,0,0,0,0,20,0,0,40,0,1,35,0,19,8,0,0,1489,2,2,0,1,2,0,0,6,1,2,101,0,0,0,207,15,2,101,291,22,11,8,37,12,12,2,1,0,0,5,6,27,1,0,0,48,0,9,1,1,0.039175694,0.230681574,0.023161785,0.009074093,21.15487453,13.84089446,4.863974895,2.450005174,0.021382773,0.151884003,0.000245742,5.14E-05,60,210,270,56.48,58.94693311,16093,89.06,0.841351007,16093,87.08,4.386922895,16093,91.94,0.880219182,16093
30/04/2020,35,0,0,0,0,0,29,0,0,0,0,0,0,0,27,17,0,0,735,0,9,2,0,7,0,0,15,0,0,141,0,2,0,89,9,0,130,0,9,3,3,41,0,29,4,0,0,0,9,4,0,0,0,0,14,0,18,1,1,0.037687011,0.214858125,0.024825923,0.00892159,20.50173414,12.89148749,5.138966095,2.471280552,0.019497701,0.142075754,0.000220356,4.55E-05,60,207,277,57.02,74.01186723,16093,84.02,2.025871491,16093,87.08,2.764180644,14484,75.92,3.120615163,16093
01/05/2020,33,0,0,0,0,0,16,0,3,77,0,0,14,0,46,27,1,0,1042,0,2,10,0,9,0,0,7,1,0,144,0,3,0,48,13,1,55,132,24,14,4,20,21,16,1,0,0,0,3,12,41,1,0,0,40,0,9,5,1,0.038456182,0.23174565,0.022513418,0.009212401,21.26626837,13.90473899,4.772844618,2.588684767,0.020905299,0.151553938,0.000239125,4.19E-05,60,212,281,55.94,22.3164578,16093,87.08,0.014296695,16093,86,0.080744028,16093,80.96,0.145835587,16093
02/05/2020,70,0,0,0,0,0,27,0,0,0,0,0,25,0,30,23,0,0,632,0,2,0,0,6,0,0,9,2,0,99,0,9,0,0,17,0,69,147,20,3,8,36,0,26,2,0,0,0,0,4,0,0,0,0,40,0,15,0,0,0.032588417,0.212979324,0.022402454,0.008527012,20.82399836,12.77875943,5.018149769,3.027089156,0.016761894,0.143154016,0.000236545,3.96E-05,60,224,355,60.08,28.91342309,16093,82.94,0.017038658,16093,82.04,0.078283424,16093,80.96,0.039099865,16093
03/05/2020,43,0,0,0,0,0,11,0,0,18,0,0,0,0,36,12,0,0,805,5,1,0,0,0,0,0,13,0,0,107,0,0,0,101,10,0,0,216,59,10,5,0,8,26,3,0,0,0,0,4,31,0,0,0,23,0,7,2,0,0.034548948,0.200525676,0.024840741,0.008462826,19.96929192,12.03154056,5.390440797,2.547310568,0.016801166,0.131380951,0.000239105,4.33E-05,60,217,301,53.96,52.29634766,16093,82.04,0.479553349,12875,82.94,0.64319307,16093,78.08,1.996884974,16093
04/05/2020,27,0,0,1,0,0,2,0,0,0,0,0,10,0,11,14,0,0,526,0,0,1,0,3,0,0,0,4,0,76,0,3,0,174,10,0,0,0,22,4,1,48,0,13,0,0,0,0,1,5,0,0,0,0,14,0,11,0,0,0.032270933,0.201918716,0.023352589,0.009257033,20.81475159,12.11512294,5.441153141,3.258475505,0.015149093,0.131362279,0.00024719,4.70E-05,60,233,352,55.94,22.3164578,16093,78.98,0.56966246,16093,80.06,0.603485368,16093,78.98,0.685548303,16093
