Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-09-06,3.9672425,1.1310242,10.861956,6.916169,0.06746449,13.902566,0.022129942,1.2849729,2.8906794,0.44642365,6.9280653,11.835287,2.5812051,0.054884255,0.0075068027,47.898335,5.158704,0.36457482,-0.059558943,1.07356,-0.071576,1.8376663,0.9906671,0.054993942,0.020080782,27.414833,0.44609928,2.473297,0.0021509007,15.526338,21.175943,0.58287805,6.284071,0.9800992,3.7696977,1.5720037,0.09121508
2020-09-13,3.0993235,0.3470226,12.08345,6.671706,0.113129586,13.773933,0.09802239,1.4139597,3.5392108,0.46831575,7.7475533,10.051056,2.1055672,0.10596406,0.11184035,54.067577,4.9474077,0.79940706,-0.05606033,1.4053833,0.04624282,1.2703812,2.0236993,0.12916917,0.05728995,28.793419,0.4644759,2.5486999,0.04947781,17.53175,20.826878,0.8442263,5.458904,0.84944326,4.427964,1.8484272,0.14675063
2020-09-20,3.7767932,0.10404715,8.840861,5.3734994,0.0934443,16.696056,-0.06619388,0.89964044,6.35249,0.07639171,6.1148086,9.463343,1.6561582,-0.022029497,0.42825088,58.611534,7.176982,1.2049904,-0.03210689,3.0771163,0.4765181,1.3646126,5.324418,0.31625208,0.1432502,40.309025,0.07687795,3.0579658,-0.06090169,18.450531,21.09786,0.7915099,5.0119815,1.1914301,2.635141,1.0983188,0.27649876
2020-09-27,3.1903777,0.10109996,12.374162,6.005535,0.12639871,14.583044,0.11865397,1.5618545,5.101852,0.2787682,8.853903,9.624145,1.7554487,0.054723203,0.30882606,58.82822,5.7349577,1.4542389,0.01530394,2.050407,0.21130836,1.2099547,3.667027,0.24847138,0.23455484,35.06643,0.2822046,3.086698,0.08485738,18.748688,23.874134,1.019668,5.01177,0.8088575,4.200481,1.966763,0.23716448
