Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-28,172.825,-0.8509828,1.1429651,0.25600523,-4.5359764,68.078835,-2.9558024,0.7733588,144.94809,0.9213668,-1.6708357,75.92769,4.033215,127.95321,40.320717,6.1505136,3.521891,1903.2742,12.992838,17.069363,-6.951684,1.6294434,12.161863,6.7802567,-0.83445495,15.948539,7.98248,1.2937702,455.3123,37.320854,-9.145267,374.40485,103.74861,-1.8092113,340.40427,371.6644,66.49367,109.793045,1.8677591,43.71631,48.196236,97.12714,3.8142085,5.4798474,3.9495533,36.892174,24.325548,108.37312,-2.3984268,-7.5826087,4.7804947,57.87271,-0.12039188,84.20468,6.8835473,8.11014
2020-05-29,171.32014,1.3921386,-1.3464141,-0.2711588,-6.9817314,66.17406,-4.0100923,2.3908613,142.10033,1.2562587,2.0174763,72.74388,4.6143713,121.44286,38.394333,4.000857,3.9265344,1901.2522,12.21303,17.694447,-6.5539374,-0.4818079,12.856817,6.544723,-1.4005224,16.356703,7.5330343,-2.2218351,448.76825,36.34731,-10.537607,369.23047,98.85754,-2.051613,335.8527,368.80905,66.21631,104.50609,1.4370944,42.550705,45.658485,91.336754,1.6489352,4.928029,1.8867298,36.50085,24.138329,102.58184,-1.3546833,-5.5293183,4.094873,55.632977,-0.11134241,79.87089,4.610028,7.3377004
2020-05-30,170.61111,-1.1035925,-0.509308,-0.07481341,-6.937386,64.692924,-3.5760942,1.1399372,131.7132,0.5227201,-0.98768574,82.12639,3.125161,120.48091,40.563923,6.0622354,4.2691793,1988.2721,10.206011,16.63052,-7.9775143,1.046493,8.705616,8.088841,-1.4162153,12.768372,8.508693,3.0931356,462.20346,34.246365,-10.494952,376.53024,85.97892,-3.506416,328.3167,387.72427,64.96317,100.28476,0.20434242,43.659,46.892548,88.44257,1.441642,5.904266,6.1904945,37.326538,23.049746,94.5246,-1.4171727,-10.084414,4.139162,56.273098,-0.7942529,82.809586,6.9748936,6.7493086
2020-05-31,170.20917,-0.864867,-0.9887924,-0.10786079,-6.6953244,65.4003,-3.471014,1.3848679,133.54866,0.67455786,-0.7453585,82.62947,3.2259698,123.51619,41.307095,5.9330745,4.1569276,2001.9832,10.367392,17.163528,-7.598492,0.9450512,9.435689,8.014541,-1.4063181,13.574809,8.406041,2.4498281,469.30984,34.425488,-10.349537,383.95364,87.42601,-3.4832401,335.7334,390.09482,64.92606,103.750694,0.40703052,43.507927,48.22447,89.683235,1.5135967,5.7923393,5.559974,37.14872,22.712397,97.42004,-1.4871527,-9.492053,4.196173,56.89397,-0.37501955,83.72852,6.7501283,6.574732
2020-06-01,172.684,-1.206438,-1.3979113,-0.08347364,-7.3954973,65.379456,-3.7262034,1.485723,132.30734,0.744621,-0.7761815,85.809265,3.0774028,123.625626,42.158756,6.19071,4.519965,2058.9795,9.935345,17.272108,-8.180844,0.7260789,8.64933,8.529434,-1.5588857,12.722646,8.616903,2.99703,479.0494,34.11885,-10.92097,390.93005,84.08486,-3.8513372,337.82404,401.123,65.5209,102.76735,-0.28264582,44.261864,48.574207,89.00501,0.9781846,5.9609284,6.2718544,37.85624,22.925322,95.13955,-1.4121988,-10.382,4.1162047,57.647514,-0.6271539,84.68642,6.9701705,6.2626743
2020-06-02,172.37488,-1.0261251,-1.3560269,-0.022427812,-7.2261753,65.825485,-3.6057904,1.4890175,133.78839,0.60450804,-0.8180111,85.693054,3.324595,125.01978,42.497402,6.259869,4.5188103,2056.2747,10.232685,17.629923,-8.10398,0.7399404,9.156105,8.288367,-1.58944,13.225918,8.761424,2.6603858,480.53076,34.263386,-10.714525,392.97394,85.76679,-3.9947574,340.7702,400.27954,65.36077,104.56477,-0.10145736,44.28136,49.129032,89.767975,1.2233809,5.775002,5.913263,37.82974,22.795914,96.83,-1.3894826,-9.725906,4.269504,58.21159,-0.46517447,84.659874,6.942195,6.340427
2020-06-03,176.16292,-0.69708383,-1.2130463,-0.027028874,-7.107062,68.16058,-3.5211892,1.4705789,139.3525,0.6665432,-0.9418711,86.60013,3.4080236,129.59749,43.375492,6.1508584,4.568672,2090.9907,10.847509,18.134491,-8.020346,0.76805484,9.996101,8.415323,-1.6284323,14.296863,8.894746,2.6823742,491.83716,35.67174,-10.779042,403.06647,91.090256,-4.1634626,352.48346,406.64694,67.10712,109.33566,0.18718731,45.13378,50.70889,93.62616,1.5105209,5.9407554,5.783658,38.57857,23.360325,102.04889,-1.3736776,-9.663967,4.446738,59.55376,-0.07853212,86.927246,6.979907,6.7223883
2020-06-04,176.9463,-0.6582655,-1.4459603,-0.09145479,-7.360914,68.69903,-3.535379,1.6979051,139.1292,0.6397561,-0.5949891,86.906876,3.2616754,129.34306,43.38493,6.138097,4.690537,2101.0417,10.777012,18.00872,-8.233063,0.5088799,10.11162,8.36318,-1.6973765,14.2722225,8.819515,2.634169,493.5038,35.830402,-10.897432,404.1105,90.529755,-4.1131563,353.39175,408.3356,67.413536,109.0025,-0.064998865,45.416748,50.72858,93.413345,1.2823527,5.806385,6.044465,38.50714,23.495497,101.59814,-1.2709327,-9.707377,4.281723,59.363285,-0.114575885,87.05913,6.7373857,6.60673
2020-06-05,178.64873,-0.031061113,-0.834795,0.24700949,-6.996617,70.66256,-3.1512873,1.6447148,146.2731,0.73703843,-0.6730619,85.23779,3.880133,134.65918,43.80856,6.1388535,4.5384674,2079.9773,11.921724,18.567083,-7.898107,0.51201415,11.566305,7.826623,-1.7212045,15.903688,8.722044,1.6220043,495.49472,37.054802,-10.458557,407.6072,99.34355,-4.0301633,362.723,404.2504,68.29289,115.119385,0.6179934,45.543674,52.130463,98.19067,2.2764726,5.282739,5.1215105,38.532375,23.747288,108.80758,-1.2758679,-8.324776,4.517099,60.669502,0.4133571,88.43577,6.6610336,7.163848
2020-06-06,181.01164,-0.13375881,-0.62407565,0.60197544,-6.936012,71.85421,-2.8383472,1.7322257,148.16994,0.6831754,-0.49009567,86.68811,3.6157098,135.85355,44.245747,6.0112443,4.8706207,2101.7725,12.139511,18.636898,-7.7222023,0.6061061,11.8500805,7.6268625,-2.0462255,16.007406,9.019619,2.0614445,501.16058,37.52968,-10.260483,411.9423,100.85844,-4.3890777,366.82666,408.55185,68.95567,116.38149,0.28003794,46.22303,52.330666,99.56398,2.4559278,5.10064,5.3087015,38.762604,24.559954,109.77897,-0.96444523,-8.207761,4.2390447,61.20925,0.5579533,88.95405,6.3126683,6.770546
2020-06-07,171.86774,-1.2808478,-1.0852895,0.26817438,-6.6355615,64.86602,-3.5699475,1.413836,133.0486,0.9552637,-1.3488977,84.304474,3.721886,123.68698,41.494537,6.5028253,4.382516,2025.7001,10.115406,17.249197,-8.230182,0.77947426,9.085478,8.028697,-1.3718683,12.876683,8.1809635,2.2904098,473.21796,33.88095,-10.813616,386.57278,85.828995,-3.4390495,335.88724,395.41068,65.363525,103.12772,0.07229209,44.11754,48.040394,89.230774,1.4227425,5.8412194,5.7270074,37.530655,23.236546,96.4014,-1.9045063,-9.574323,4.608892,57.252884,-0.68052715,84.27687,6.7704167,6.3946733
2020-06-08,176.31754,-0.38676366,-1.0499401,0.107580945,-6.6021576,69.348785,-3.2074995,1.6053371,143.35968,0.90964025,-0.8623294,85.17061,3.6980436,133.07207,43.467396,6.005924,4.457258,2071.3647,11.556156,18.486267,-7.6088743,0.61650175,11.204508,7.9465322,-1.6114533,15.307044,8.597049,1.8826699,493.25076,36.27312,-10.423583,405.78934,96.31721,-3.7417948,359.06708,402.98312,67.47851,113.60339,0.56158864,44.944477,51.566418,96.45972,2.0650697,5.640339,5.050485,38.18713,23.33392,107.06059,-1.4600857,-8.644747,4.5066533,59.819523,0.25306875,87.994354,6.6267366,6.7906566
