Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-05-14,0,0,10,10,0,3,0,2,4,0,5,0,0,0,0,0,78,1,-1,0,-1,0,0,2,0,0,0,22,0,5,0,19,6,0,1,0,0,2,0,56
2020-05-15,0,0,10,7,2,2,0,0,4,0,6,0,0,1,0,0,35,0,8,0,0,0,0,4,0,0,0,10,0,7,0,17,0,0,-1,0,0,1,0,50
2020-05-16,0,0,12,2,0,4,0,0,1,0,8,0,0,1,0,1,101,2,4,0,2,0,0,2,0,0,0,18,0,2,0,17,3,0,1,0,1,3,0,165
2020-05-17,0,0,6,4,0,2,0,0,1,0,3,0,1,0,0,0,46,1,1,2,0,0,1,3,0,0,0,26,0,0,0,11,4,0,1,0,1,6,0,36
2020-05-18,0,0,10,2,0,0,0,0,3,0,12,0,1,0,0,0,43,0,5,0,1,0,2,0,0,0,0,7,0,1,0,13,3,0,0,0,0,5,0,117
2020-05-19,0,0,9,4,0,3,0,1,1,0,8,0,-1,0,0,0,50,1,4,1,0,0,0,0,0,0,0,17,0,0,0,21,8,1,0,0,-1,1,0,74
2020-05-20,0,0,8,4,4,1,0,1,2,0,2,0,2,0,0,0,37,0,5,-1,0,0,0,0,0,0,0,12,0,0,0,8,4,0,0,0,0,1,0,74
2020-05-21,0,0,6,12,0,2,0,1,5,0,6,0,0,0,1,0,28,0,0,0,0,0,0,2,0,0,0,3,0,0,0,20,6,0,0,0,0,3,0,33
2020-05-22,0,0,8,6,0,5,0,0,2,0,8,0,1,1,0,0,39,-1,0,0,0,0,1,0,0,0,0,9,0,0,0,17,16,0,0,0,0,0,0,43
2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,3,0,22,25,0,11,0,1,18,0,19,0,1,0,0,0,114,1,6,0,0,0,0,1,0,0,1,28,0,0,0,32,40,0,3,0,1,5,0,218
2020-05-25,0,1,8,2,0,2,0,1,0,0,4,0,0,0,0,0,43,0,3,0,0,0,0,1,0,0,0,6,0,0,0,9,17,0,2,0,1,1,0,146
