"","MEAN_ALL","MEAN_0","MEAN_1","MEAN_2","SUM_ALL","SUM_0","SUM_1","SUM_2","VAR_ALL","VAR_0","VAR_1","VAR_2","NTP_0","NTP_1","NTP_2","CRESCENT TMP","CRESCENT HUMIDITY","CRESCENT VIS","LEMOORE TMP","LEMOORE HUMIDITY","LEMOORE VIS","HANFORD TMP","HANFORD HUMIDITY","HANFORD VIS","PASOROBLES TMP","PASOROBLES HUMIDITY","PASOROBLES VIS"
"2020-03-01",0.0403919347856787,0.250509612013896,0.0245921658397009,0.00841759073815934,22.5790915451944,15.0305767208338,5.09057832881808,2.45793649554253,0.0223723115507012,0.159663798865859,0.000253411599053798,4.19722452596358e-05,60,207,292,48.92,14.6204579085175,16093,73.94,0.09606315697304,16093,73.94,0.841149753804504,12875,59,14.0256679101483,16093
"2020-03-02",0.0334941781694227,0.200862663534159,0.02313130894106,0.00850176414732381,19.7615651199594,12.0517598120496,5.06575665809214,2.64404864981771,0.0165681041711294,0.132091049057513,0.000238607534159919,4.74747308841908e-05,60,219,311,48.92,22.3252942185556,12875,53.96,2.43379394528183,16093,57.02,2.40150550530141,9656,50,7.72043970406395,16093
"2020-03-03",0.0290527931227217,0.178119836328551,0.0231699609254696,0.0101065085166031,20.3660079790279,10.6871901797131,5.67664042674005,4.00217737257481,0.0126191670951748,0.123147658181461,0.000264434373751318,4.88516989169925e-05,60,245,396,51.08,28.4414541320232,16093,62.96,0.0181399592354498,16093,64.04,0.298709387147703,16093,64.04,0.0447779585546887,16093
"2020-03-04",0.0313264669534779,0.1858503437407,0.023303536525755,0.00947580134523088,19.4537359781098,11.151020624442,5.03356388956308,3.26915146410465,0.0156408063351853,0.135937681533311,0.000233645970123819,4.49446660005704e-05,60,216,345,51.08,41.4052833116946,16093,69.98,0.0678315448394325,16093,69.98,0.363216814873493,16093,75.92,0.0741144981097077,16093
"2020-03-05",0.038535434234105,0.211899809461708,0.0233697633639045,0.00879001936291235,19.9998903675005,12.7139885677025,5.2114572301507,2.07444456964731,0.0204311971966984,0.143377986238115,0.000221716745755429,4.86196470243417e-05,60,223,236,51.08,41.4052833116946,11265,75.92,0.334101019212437,16093,78.08,0.206912874374607,16093,69.98,0.718680485817677,16093
"2020-03-06",0.0334865561768207,0.181826507874454,0.0240857089904458,0.00979086714131491,19.4556891387329,10.9095904724672,5.80465586669743,2.74144279956818,0.0150753127141444,0.121577736274506,0.000241639181594731,4.94712027165708e-05,60,241,280,48.02,39.1030522082788,16093,78.08,0.206912874374607,16093,78.08,0.505502876644294,16093,62.96,7.91554816891749,16093
"2020-03-07",0.0454008751923917,0.262696019668753,0.0241553037532885,0.00993397410928717,23.1090454729274,15.7617611801252,4.90352666191757,2.44375763088465,0.0262026451145983,0.169736823690757,0.000246758103896311,5.1112435926419e-05,60,203,246,45.98,83.7189545015856,2816.33333333333,77,0.474495446538125,16093,73.04,2.55456276854304,6437,57.92,7.67811682331027,16093
"2020-03-08",0.0364899752183562,0.21357605404531,0.0232381945855527,0.00986059080986749,20.6168359983712,12.8145632427186,4.90325905755162,2.89901369810104,0.0188312192462842,0.14280806056591,0.000241298181752145,5.92306157110616e-05,60,211,294,48.02,13.5030377634171,16093,62.06,1.76765744600367,16093,60.08,10.1162548989659,16093,55.94,8.67958784075894,16093
"2020-03-09",0.0412682239417676,0.24957907347319,0.0248000333132931,0.0104201658815146,22.9864007355645,14.9747444083914,4.88560656271875,3.12604976445436,0.022445953671748,0.160363279834422,0.000304402458624862,5.46547992850506e-05,60,197,300,50,14.7044192430591,16093,64.04,0.298709387147703,16093,62.96,2.40651625168235,16093,55.04,2.03629607166822,16093
"2020-03-10",0.0345398119726461,0.213399595037724,0.0227633386028108,0.00925255373027466,20.8275066195056,12.8039757022634,5.053461169824,2.97006974741817,0.0177118671752855,0.142991665074301,0.000243827953259364,5.20324299474112e-05,60,222,321,51.98,24.4624925091318,16093,66.02,1.0032233762309,16093,66.02,1.0032233762309,16093,62.96,0.973330235839426,16093
"2020-03-11",0.033965216986835,0.18476168505537,0.0215011863658826,0.00874819089384639,17.8317389180884,11.0857011033222,4.51524913683534,2.23078867793083,0.0166616020588675,0.120526240697793,0.000230667137067761,4.83044621544568e-05,60,210,255,51.98,24.4624925091318,16093,59,24.2145406891303,16093,62.06,18.7505491566826,9656,54.41,60.8637172742001,16093
"2020-03-12",0.0359623194713231,0.213976940295349,0.0233529803330359,0.00846429176939031,20.3906351402402,12.8386164177209,5.11430269293487,2.43771602958441,0.0187576606968594,0.142392220428519,0.000227009405915068,4.2738066782598e-05,60,219,288,51.08,33.8058517205834,11265,69.08,7.28715300943117,16093,69.98,5.38047362366017,16093,64.04,11.8261553591139,16093
"2020-03-13",0.0401884282057535,0.216293486114591,0.0241026327872247,0.00752115820956337,19.571764536202,12.9776091668755,4.91693708859384,1.67721828073263,0.021715084997163,0.141453865813691,0.000234544960656727,3.87431137901802e-05,60,204,223,51.08,19.191050413792,9656,71.96,2.92388287168121,16093,69.98,7.57540994157676,16093,69.98,6.49512772299169,16093
"2020-03-14",0.053841285792918,0.290141472779214,0.023973858745938,0.00901041112503215,23.4209593199193,17.4084883667529,4.21939913928509,1.7930718138814,0.0325922905580672,0.172529536837168,0.000254565676550311,7.091390370108e-05,60,176,199,48.02,30.5016753905062,16093,64.94,2.76270160214856,16093,69.08,1.96576254309798,16093,53.96,37.039311490205,16093
"2020-03-15",0.0396407671847474,0.220908035493145,0.0259965634136235,0.00998881820808438,21.3267327453941,13.2544821295887,5.35529206320643,2.71695855259895,0.0197236056457387,0.140185323719571,0.000264787128043784,6.41653694561608e-05,60,206,272,46.34,15.0398878217324,16093,62.96,1.55017928540817,16093,60.98,15.0286064958272,16093,54.68,17.7206059807523,16093
"2020-03-16",0.0360758982468128,0.204763808147982,0.0255518997181207,0.00899321281325978,20.0581994252279,12.2858284888789,5.11037994362414,2.6619909927249,0.0174725568737503,0.130130335638011,0.00029437711891692,4.88236682094941e-05,60,200,296,44.96,19.435823083285,16093,57.92,7.67811682331027,16093,59,8.09103819265754,16093,50,46.8427317033427,16093
"2020-03-17",0.0407703211750515,0.212566239472168,0.0245405206876119,0.0103573962605955,19.8959167334251,12.7539743683301,4.68723945133388,2.45470291376114,0.0216280920196915,0.142815729725844,0.000273262072476808,6.13554406133424e-05,60,191,237,48.92,17.7751295002646,16093,44.96,57.2468242617475,16093,42.98,53.7702108204089,16093,48.02,32.6612450261502,16093
"2020-03-18",0.037440297360256,0.20823993239707,0.0237920255001102,0.00973572280300435,20.2177605745383,12.4943959438242,5.16286953352392,2.56049509719014,0.0196523404640662,0.14472729198603,0.000222381344893681,4.97340440602999e-05,60,217,263,46.04,51.3705556669151,16093,51.98,13.1904479742794,16093,57.02,3.79433313191743,16093,53.06,5.63367388172045,16093
"2020-03-19",0.0317715488313659,0.180863502776871,0.0242372549290204,0.00939618290120567,19.5395025312901,10.8518101666123,5.67151765339077,3.01617471128702,0.0143245326859943,0.12220897207919,0.00025381250386704,5.65522352771305e-05,60,234,321,51.08,19.191050413792,16093,57.92,3.29766469590153,16093,60.08,0.69164918086096,16093,53.96,9.51239059161991,16093
"2020-03-20",0.0318016241435794,0.179902264755219,0.0228212295411938,0.00887348052374153,18.5085452515632,10.7941358853132,5.04349172860384,2.6709176376462,0.0151086606396449,0.122445588143099,0.000225262646383668,4.06587953729804e-05,60,221,301,51.08,28.4414541320232,16093,55.94,10.4292914852439,16093,55.04,21.7603782812699,16093,53.96,11.9067741065057,16093
"2020-03-21",0.0304839459117151,0.195548257340367,0.0254289755365879,0.00855919568981957,21.0644066249952,11.732895440422,5.92495130002499,3.40655988454819,0.0141565337548546,0.133272702926222,0.000247853198837814,3.87229143952024e-05,60,233,398,53.06,29.8672840178391,16093,60.98,3.21008812812605,16093,64.04,2.59793959935604,16093,59,9.64933597574758,16093
"2020-03-22",0.0344300614396474,0.201197158917785,0.0224150707075993,0.00959110588190101,19.9350055735558,12.0718295350671,5.04339090920985,2.8197851292789,0.0168338689584259,0.13176282984702,0.00025643603928676,5.45408325002695e-05,60,225,294,51.98,35.6412799323956,14484,57.92,16.4893901566226,16093,60.98,18.1658696976157,16093,59,14.0256679101483,16093
"2020-03-23",0.0346310598212255,0.203464328420038,0.0243218985807924,0.0100352272114518,20.6054805936292,12.2078597052023,5.15624249912798,3.24137838929892,0.0163083734033384,0.130373739807108,0.000241929635131415,4.92673258767135e-05,60,212,323,49.46,37.6880543748645,16093,64.94,4.1140775880655,16093,66.02,3.5478975794745,16093,57.02,45.4128823730606,6437
"2020-03-24",0.0355576049756132,0.213479180308059,0.0247831852155647,0.0103347570351932,22.0101574799046,12.8087508184835,5.87361489608884,3.32779176533222,0.0171973551426688,0.14284448676292,0.000210499753971554,5.83516250098119e-05,60,237,322,48.62,45.6587125028094,16093,64.04,8.31135446660018,16093,64.04,9.77126636036052,16093,57.92,28.4306181193358,16093
"2020-03-25",0.0337079475108814,0.185583800325791,0.024103400610688,0.00967092264829011,19.314653923735,11.1350280195475,5.37505833618343,2.80456756800413,0.01529002973601,0.120313599163855,0.000257419068491853,6.2782729344271e-05,60,223,290,46.67,41.2037980557314,16093,60.08,6.89229402841246,16093,57.92,23.5503439261063,16093,55.94,12.9252936734404,16093
"2020-03-26",0.0290510668036665,0.163038246907915,0.0234604387300638,0.00959789982542049,18.7379380883649,9.78229481447488,5.65396573394537,3.30167753994465,0.0122054617235813,0.111201128655787,0.000270231212113692,5.75232516035893e-05,60,241,344,48.92,11.4951960753526,16093,50,34.168248096417,16093,48.02,48.2611022975272,9656,55.04,4.06947633390322,16093
