Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-09-06,1.5592442,0.2871113,11.393153,2.8485284,0.6233085,7.2284727,0.25060996,1.1121324,2.2873578,-0.112603396,10.823735,5.0090947,0.5876472,0.29454333,0.69815975,35.07374,3.5482936,1.1765096,0.18596436,1.2083833,0.24252334,0.5366355,2.0307636,-0.17159955,0.5054262,20.207792,-0.6090623,2.1197758,0.1057747,10.814186,15.639229,1.249538,3.5176919,0.60814214,1.6046107,1.6301953,-0.041229606
2020-09-13,1.5765839,0.29264292,11.327086,2.8520963,0.59085184,7.188651,0.24194571,1.120409,2.2838342,-0.10733631,10.723704,4.996153,0.59701127,0.27708662,0.6875005,34.85117,3.4900455,1.16703,0.1801387,1.1951478,0.24420264,0.53343296,2.0328014,-0.12784354,0.5228943,20.077436,-0.60048896,2.1029956,0.11075419,10.753333,15.541275,1.2317609,3.4994097,0.57487535,1.6222453,1.6288921,-0.039246112
2020-09-20,1.6390102,0.29262704,11.592534,2.9280367,0.53409415,7.3590326,0.2419196,1.1777444,2.3541806,-0.10308838,10.909283,5.1436467,0.62648004,0.25986528,0.6919616,35.748585,3.5020099,1.1980029,0.1775896,1.1945965,0.26375264,0.5372599,2.0973766,-0.076995164,0.5508249,20.565702,-0.58733416,2.1521459,0.11472461,11.009613,15.903816,1.2381437,3.5778494,0.5499339,1.7090023,1.6710452,-0.031407654
2020-09-27,1.037257,0.04354024,12.544131,2.5822265,1.4343095,7.8644905,0.47623372,0.84905547,2.1312058,0.024891496,12.787863,5.1758904,0.29888457,0.69483036,0.7503781,38.23435,4.906307,1.3698937,0.3818065,1.5753098,0.056031078,0.70567185,1.7502625,-1.4959841,-0.25886565,22.277973,-0.6888319,2.5796576,0.1821706,11.858223,17.066694,1.4838029,3.8316348,1.3544308,1.2056248,1.5014415,-0.26998204
