"","Hospi","Hospi_EV","Hospi_TDA"
"Adams",1.13306407287949,1.9314568069676,1.18853337728501
"Asotin",1.91302367724433,1.70872945154084,1.61059481382124
"Benton",5.53434446903339,5.67256246371783,5.315174702491
"Chelan",4.82725308782325,2.37808822186696,5.78643929858904
"Clallam",0.950703944273411,1.08589966454757,0.947304054637639
"Clark",3.60552111368821,7.11328391474183,4.0003023615071
"Columbia",0.0818696902472378,0.318852131703633,0.0844963277611086
"Cowlitz",2.36167018086185,0.738791828812258,1.00931083262444
"Douglas",2.82808408609405,1.64756292881945,3.97790579043876
"Ferry",0.252401567452418,0.0941374113985658,0.354316637933272
"Franklin",6.33519287035802,6.29417247361992,4.21690866291434
"Grant",3.92311059331219,2.1523024601697,5.18544026106219
"Grays.Harbor",2.9517765362117,3.3339248977323,2.28656166130179
"Island",0.676752948093946,0.640302303829551,0.680046223639107
"Jefferson",0.441142823063896,0.612618544212972,0.410391534857506
"King",25.7912148690891,8.78439009523748,25.6036466280914
"Kitsap",5.47695837936274,3.25907669370553,4.42231879670464
"Kittitas",0.674697002370595,0.909523028501788,0.894378086901905
"Klickitat",0.454697680916139,0.467016660275174,0.530818466440266
"Lewis",0.907115468037413,1.22274635834175,0.562728594193857
"Lincoln",0.248750117932843,0.407324243274488,0.285458422896861
"Mason",0.4425470378611,0.534904809920663,0.770020056167367
"Okanogan",2.91624186274572,1.70261823026044,3.42456660824753
"Pacific",0.0773853777971486,0.756585596448302,0.21299202621144
"Pend.Oreille",0.613484367833715,0.474155456530045,0.140731987252543
"Pierce",7.23627565738208,10.1758464462532,11.5077572480803
"San.Juan",0.265816915400928,0.622694684079543,0.353656643071599
"Skagit",2.19950980053632,1.51230609038065,1.95038916678458
"Skamania",0.463346266144934,0.458353962949667,0.532720811223275
"Snohomish",6.5690513174962,2.23019453069587,6.27975138154468
"Spokane",14.2387178808687,13.694180605202,8.94129238415355
"Stevens",1.03149334246598,0.78656029586277,0.818547283118926
"Thurston",0.938387402364675,1.15793248091492,1.52856847274658
"Una",1.1220326576575,0.842203748632012,0.969007795671986
"Walla.Walla",1.80174180872438,1.22588685567907,2.92818829039063
"Whatcom",3.96526420192811,3.483907771022,3.45792602693855
"Whitman",0.667696484686125,0.82091004141294,0.590492225410295
