"","Hospi","Hospi_EV","Hospi_TDA"
"Adams",7.08169821645643,7.03600113699888,7.28231024436293
"Asotin",3.45201701694509,3.29787514441315,4.2730275469278
"Benton",55.4422977483681,23.0812535648423,84.8275176606653
"Chelan",22.3337148617341,9.33722444889266,14.9897610309202
"Clallam",2.26741657652975,1.62834410677015,3.64144798338116
"Clark",88.8566325383606,87.8505974191036,90.684275553483
"Columbia",0.720407307383371,0.64318040126859,1.04361867224557
"Cowlitz",7.50192410401355,5.47691829182401,10.9678551290445
"Douglas",16.8190416132998,7.82525276606739,12.5613967940285
"Ferry",1.36267471300664,1.33618480367003,1.93187313758535
"Franklin",32.8131540929975,22.7909719219631,34.9006754108361
"Garfield",1.05740053456606,1.08928113503862,2.00696536925953
"Grant",24.7979064281376,14.4229199277571,28.2537924152944
"Grays.Harbor",8.00811218295824,9.01601337516479,7.46809262071109
"Island",2.36880294204421,1.93697316254255,4.17478894877061
"Jefferson",1.0857472224177,0.524648455268649,0.796702722429471
"King",101.305033614737,48.5071922407026,80.1830206555086
"Kitsap",11.7843253765334,5.07584100108343,11.0997376883946
"Kittitas",6.2883000843452,5.7210865317981,6.52298918839214
"Klickitat",1.30616382080848,1.17652960963192,4.06379540230874
"Lewis",6.77924027275173,7.53397695396355,6.89648954904974
"Lincoln",1.33723749189705,1.44544678088948,1.95385086240793
"Mason",3.98487770358719,2.31401094319733,6.17458365777462
"Okanogan",18.6726030606349,8.88073377012173,12.5298345643587
"Out.of.WA",0.525013439453357,0.502585322110339,1.78469430586353
"Pacific",1.4560071769134,1.39311132367986,1.63244902765418
"Pend.Oreille",0.754084463457371,0.842424891421526,0.701302933634198
"Pierce",46.9049413973077,15.781152238801,31.3759461541893
"San.Juan",0.491242668890758,0.0779723898684818,1.20869522460201
"Skagit",8.18697119690645,4.58978527538996,7.50503119271597
"Skamania",1.67327847204596,1.44369427789716,1.69700557798715
"Snohomish",33.566367093598,14.320203808335,33.9446652648966
"Spokane",62.2000882809811,23.9739018819399,59.6442736827455
"Stevens",3.6101030858868,3.11821241486746,3.18875113551433
"Thurston",8.58698610928452,4.73851971827881,4.56227558836143
"Wahkiakum",0.544597334543743,0.421471532776175,1.01537188542465
"Walla.Walla",8.27764498447224,3.71764952688498,6.76211062449894
"Whatcom",8.06761759689288,5.34864426516989,11.1847076053929
"Whitman",29.0566358988694,29.4349657923104,46.4808883783145
"Yakima",48.7941635237584,69.35281246243,32.3427987429519
