"","Hospi","Hospi_EV","Hospi_TDA"
"Alameda",18.9244620862876,25.8313574237109,19.9835768632293
"Amador",7.38713196348633,4.73262816161405,2.3270548710597
"Butte",8.32297982140181,8.4974781554404,4.19644280559825
"Calaveras",4.18375705228662,6.02025008026618,2.14945307814425
"Colusa",5.6257518956961,9.24329941570159,2.62138970545989
"Contra.Costa",11.7528002587522,19.4166200522092,15.833045886551
"Del.Norte",9.63523065130319,4.51993984069005,0.607483941453108
"El.Dorado",4.42502072428363,1.76300742485518,0.910973506430878
"Fresno",54.6262581609416,18.2851422726173,40.1727886719268
"Glenn",5.78248068747366,2.24602756762496,0.948723672951737
"Humboldt",2.69219292551672,2.68970761364458,2.5469155163795
"Imperial",13.1355631925046,11.5751004444643,4.12779614058543
"Inyo",3.16099243080744,2.54875774815502,0.462260909515994
"Kern",25.94073309253,19.4806313351178,25.1821528153383
"Kings",8.60470340079589,6.35092525973051,9.04491078403567
"Lake",1.31115341292626,3.52793494219845,0.888274756184082
"Lassen",7.71919930050679,0.884403108172028,0.45217970351743
"Los.Angeles",54.5037612325503,290.106644097813,113.525073016284
"Madera",7.43902183728105,14.1988493529584,3.67975216423251
"Marin",4.95280123362618,6.72786246380686,3.54020582501163
"Mariposa",4.3737330586431,3.19028030171546,0.495078185432442
"Mendocino",23.5153491892626,4.60829620149183,2.22076352897348
"Merced",6.35815856134068,5.36312277391484,8.08621849885738
"Modoc",5.0629055647568,4.91428821187434,0.149483259908093
"Mono",6.63524608535342,1.58320338128097,0.261514717034747
"Monterey",4.75994177405579,13.0870289259119,6.24484715119489
"Napa",2.99068406394453,3.10499604991158,3.01914389424865
"Nevada",4.89736690087455,4.59755983384042,1.46193199884074
"Orange",35.4169746465733,59.2580018077203,37.7929776763119
"Placer",6.63173028741916,16.8629226115253,8.93135069414268
"Plumas",17.8123547289025,6.72918332169983,0.509929107872106
"Riverside",21.8419376169432,56.8892746160926,37.6356873252074
"Sacramento",30.7164952483032,65.4048007002468,12.7670615018125
"San.Benito",12.971434450334,2.86062159422422,3.18847179934971
"San.Bernardino",41.8942041215081,54.1937290162389,48.9201120375751
"San.Diego",66.508271676285,65.1881642327622,78.0522026522412
"San.Francisco",12.8429913049298,22.0496350380745,15.1609047296499
"San.Joaquin",20.8893853653036,17.4931164661326,31.4119878739093
"San.Luis.Obispo",10.2966596264772,4.06119349711271,5.43854361991467
"San.Mateo",10.5164032808353,15.992470483786,11.3477578709666
"Santa.Barbara",4.72006921566785,7.67958234613341,8.75380172489162
"Santa.Clara",12.5325265138819,47.844766186003,21.070997319617
"Santa.Cruz",12.3961519766403,13.3607837478778,6.02834454879812
"Shasta",9.78860341671555,3.43359116622368,2.17222333463506
"Siskiyou",4.90665802152232,4.3978975903292,0.790405546228341
"Solano",16.978561619052,11.3176334105751,8.64004034973441
"Sonoma",7.25378373373551,10.501971499528,7.60300052815772
"Stanislaus",24.3631124909756,47.324060154383,28.1078713751516
"Sutter",8.35851267334534,1.18471762925571,0.218281756650345
"Tehama",4.68371411221352,6.33605139441701,2.07829304630493
"Trinity",16.6852959675117,1.90140033590666,0.815409747176246
"Tulare",13.6795743496372,14.7380088428904,11.6717746899299
"Tuolumne",4.77741746125888,3.00635609797192,0.743590817677209
"Ventura",7.3581110638001,14.5857403768403,7.9725736056357
"Yolo",4.56326873196329,2.6567688167903,3.82646380819836
"Yuba",14.6606882669574,6.00072476917896,4.89330915344706
