"","Hospi","Hospi_EV","Hospi_TDA"
"Alameda",91.0014456852942,77.8308849674823,101.67662907281
"Alpine",7.17790403848411,7.53080130299585,5.53972196848365
"Amador",8.12249586769094,22.9306952405749,12.5979751602298
"Butte",37.0616685547911,33.7174827818343,31.8107915824214
"Calaveras",6.50469781633209,11.8776708822167,9.63406781664203
"Colusa",17.1742402089006,5.03416017415567,7.93975803006513
"Contra.Costa",67.3174014761238,63.2172808187896,81.4353674693136
"Del.Norte",7.29635683812593,26.2596071436058,6.24850421019368
"El.Dorado",12.8142770081336,18.3282315411073,12.8227785181841
"Fresno",147.682655915344,114.828143993372,172.828982954314
"Glenn",13.3674289926637,7.99915489807074,12.1817296307597
"Humboldt",12.7712423075787,8.67330860417488,11.9961190218171
"Imperial",40.250349166601,45.3284286198304,53.3721390846544
"Inyo",8.75930016987796,10.9070943843566,9.25370434544344
"Kern",219.405195395302,204.729997964633,237.505262283884
"Kings",77.1785211892463,62.5122929938814,62.9593176545753
"Lake",13.6599682023275,25.0275523459511,8.32537232660387
"Lassen",10.9928326550709,10.6124204961622,9.83597588708274
"Los.Angeles",665.06411871378,608.772333449156,547.624663053977
"Madera",34.9190600919361,33.4223163663386,37.9007396776749
"Marin",34.6879672364937,36.2952617551659,31.8941985459292
"Mariposa",5.14023898383864,10.4733595077607,3.48769641407851
"Mendocino",7.91345744843631,22.321257770821,10.276609408492
"Merced",92.89834510171,63.4485910398098,89.7296338869727
"Modoc",16.7141701357551,9.02234404239968,5.79718014112181
"Mono",2.89169796591976,8.12096825958296,9.18749704289609
"Monterey",39.5086393139583,44.737184197579,62.7606110354313
"Napa",7.54540992556385,28.5208485947079,12.0982507941221
"Nevada",8.8640819380509,18.5725535231494,4.60986848027885
"Orange",244.102474240437,175.943830745635,180.669677071845
"Out.of.CA",2.4582692785925,14.3943762517669,2.79323389231765
"Placer",19.4597731766618,14.8591781283695,30.3003528400535
"Plumas",3.30836939068789,4.31429793445657,4.88277206004227
"Riverside",352.867856811453,294.823490151182,319.814402707535
"Sacramento",179.900211074826,115.72044575987,168.778897159065
"San.Benito",11.2225410579115,11.7990538304585,10.1678396846766
"San.Bernardino",240.568146103952,251.857633856189,222.243479369563
"San.Diego",118.785822375812,123.906339157126,111.869686069365
"San.Francisco",24.8365886653599,26.9729921397855,30.6463034449375
"San.Joaquin",119.933399326514,116.987220752584,93.7631204353443
"San.Luis.Obispo",21.2395519993538,18.98179599672,21.9858889547785
"San.Mateo",54.6825145011596,51.999036834266,54.4929888008805
"Santa.Barbara",29.126322355049,32.1028614642163,28.3891231639859
"Santa.Clara",146.398638234272,111.852082631444,150.273483169525
"Santa.Cruz",29.0716224068386,25.945828465012,26.9898042981066
"Shasta",18.167411591287,17.2090686720931,17.0516086844022
"Sierra",6.32981838733955,16.1825712218356,6.25841263747798
"Siskiyou",8.21693496027961,23.9394094033818,6.34409828914045
"Solano",40.8500810138392,41.8618782012963,42.1800641612369
"Sonoma",52.1016557316041,56.7442363164627,58.837539732121
"Stanislaus",128.897826122851,85.6734712004277,120.157471480276
"Sutter",17.5758199552076,18.6141486204294,15.8497909360073
"Tehama",10.9002649776809,18.0406566196441,9.74648447333515
"Trinity",3.48168854916625,11.6256410281644,6.08182334353277
"Tulare",102.606799512451,70.850299174424,75.403477020963
"Tuolumne",19.0231901495605,6.00856240633971,5.58225496418974
"Ventura",64.1246250395202,39.2981860986906,59.4778472623103
"Yolo",14.8092900228568,9.41304137365158,17.9762117571345
"Yuba",9.67369855616225,15.5716162749923,12.0449205627129
