Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-09-06,3.67119,0.053294003,8.56463,4.8226786,0.7146685,13.99899,-0.044925127,0.6792955,1.5317911,0.1532068,8.480246,5.5165634,0.6824487,-0.04983811,0.20133945,49.739594,2.5909681,-0.22101718,0.10232765,2.3977115,0.13017604,0.93972194,0.6096759,-0.035656165,0.054563798,19.897919,0.15931325,2.8692515,-0.07650943,17.699703,10.858822,0.27087545,4.782779,1.0117415,1.4977982,0.62758195,0.0173584
2020-09-13,3.4889574,0.30673617,9.781689,5.9361095,0.2519925,14.596892,0.07110779,1.0084661,2.41538,0.2872679,7.6145945,7.9052076,1.6106734,0.12570868,0.36177012,53.67804,4.910704,0.2551075,-0.05835054,1.9058195,0.32638904,1.1008451,1.9603655,0.04461937,0.09807225,25.87911,0.31339833,2.481142,0.029632315,17.849184,15.095078,0.5021665,5.248848,1.0978796,2.487441,1.1918327,0.10936432
2020-09-20,3.3130665,-0.028645605,8.277094,5.1521044,0.19629475,17.090649,0.103294,1.1120265,4.856383,0.097611085,6.288537,8.919246,1.7225549,-0.025709826,0.7710669,58.791893,7.692209,0.5135266,-0.08479998,3.045969,0.7019705,1.1198448,4.9380155,0.1344423,0.18403018,35.889965,0.09574898,2.8906908,0.0783582,17.580923,16.655964,0.46958,5.101287,1.4526894,2.0458527,1.1918682,0.16488934
2020-09-27,3.185908,-0.09346476,13.926115,5.363703,0.10265985,13.750429,0.09521738,4.5205593,3.5344388,0.37323332,14.485385,9.53834,1.8811738,-0.11414208,1.1116629,58.335514,7.2188835,-0.16806255,-0.102900214,1.8481088,0.1876414,0.86903715,1.9641373,-0.051156666,1.2078865,25.075186,0.38712716,3.5875006,0.051026218,16.40704,18.752396,0.7124869,5.6297483,0.834603,3.2368002,3.043038,0.018902319
